Área S0,Modulus (Automatic Young's),Load at Fy ( 0.2 %) - LE,Tensao em Fy ( 0.2 %) - LE,Deformacao em  Fy ( 0.2 %) - LE,Forca Max,Tensao na Forca Max - LR,Deformacao na Forca Max - LR,Forca na Forca na Quebra - LQ,Deformacao na Forca na Quebra - LQ,Plano,Plano ID
21.8066,1378,0.405,18.572358827144075,1.536,0.864,39.62103216457403,22.976,0.733,40.176,deitado,0
22.223777777777777,1383,0.397,17.863749537532374,1.521,0.864,38.87727859049867,23.239,0.675,42.073,deitado,0
21.242266666666666,1362,0.392,18.453774550110786,1.585,0.836,39.35549878544035,25.215,0.766,35.382,deitado,0
21.540399999999998,1412,0.397,18.430484113572636,1.515,0.855,39.69285621436928,23.809,0.738,38.676,deitado,0
21.354166666666664,1351,0.391,18.310243902439026,1.569,0.838,39.2429268292683,23.67,0.763,38.237,deitado,0
19.79106666666667,1459,0.364,18.392136519507115,1.448,0.808,40.82650084549931,26.312,0.739,42.279,ao lado,1
19.648555555555557,1432,0.369,18.780006446614678,1.529,0.785,39.95204623466808,23.331,0.705,44.631,ao lado,1
20.826500000000003,1362,0.391,18.774157923799002,1.581,0.83,39.85307180755287,25.685,0.717,52.751,ao lado,1
20.645100000000003,1373,0.399,19.326619875902754,1.613,0.834,40.396994928578685,25.227,0.734,43.128,ao lado,1
20.226133333333337,1358,0.385,19.034780086488762,1.599,0.811,40.096640649720484,26.405,0.729,56.438,ao lado,1
20.54475555555556,1428,0.391,19.03162093813614,1.547,0.827,40.25358188194012,22.946,0.733,38.68,deitado,0
21.169633333333337,1330,0.386,18.233664887913346,1.569,0.822,38.829203465970906,24.461,0.682,45.461,deitado,0
21.85566666666667,1422,0.413,18.896701084386958,1.568,0.866,39.623591135784764,23.07,0.744,37.17,deitado,0
20.66008888888889,1381,0.392,18.97378090230869,1.578,0.825,39.93206439899151,23.731,0.722,38.398,deitado,0
19.994666666666664,1394,0.373,18.65497465990931,1.556,0.795,39.76060282742065,23.784,0.715,36.951,deitado,0
21.894133333333333,1437,0.411,18.772152052909153,1.505,0.889,40.60448461079376,26.897,0.693,52.864,ao lado,1
21.865822222222224,1388,0.403,18.43058979919956,1.541,0.876,40.0625227396993,27.646,0.71,48.413,ao lado,1
21.8615,1403,0.415,18.983143883082132,1.629,0.884,40.43638359673398,25.884,0.718,46.05,ao lado,1
22.606466666666662,1359,0.407,18.003698056898177,1.54,0.885,39.14809036942233,28.287,0.734,46.521,ao lado,1
21.624133333333333,1335,0.401,18.54409579420524,1.618,0.87,40.232826286679696,27.556,0.729,45.756,ao lado,1
19.404244444444444,1586,0.384,19.78948477480872,1.456,0.82,42.25879561287279,20.345,0.814,21.512,em pé,2
19.516533333333335,1571,0.388,19.880579884405698,1.49,0.825,42.27185155833686,21.677,0.786,25.943,em pé,2
19.43144444444444,1546,0.392,20.173487417301857,1.55,0.833,42.86866076176644,23.429,0.82,26.795,em pé,2
19.501999999999995,1542,0.386,19.79284175981951,1.485,0.812,41.63675520459441,18.787,0.803,20.087,em pé,2
19.632355555555552,1539,0.412,20.985764995653437,1.577,0.843,42.93932012460157,21.738,0.812,26.605,em pé,2
18.50633333333333,1565,0.376,20.31736882868928,1.49,0.788,42.58001765161477,20.352,0.784,20.618,em pé,2
18.505066666666668,1556,0.388,20.967230596305154,1.57,0.794,42.9071677666657,21.235,0.78,22.335,em pé,2
18.588800000000003,1520,0.386,20.76519194353589,1.557,0.804,43.25185057669133,21.855,0.79,23.423,em pé,2
18.239366666666665,1515,0.368,20.17613915687862,1.541,0.755,41.393981150661304,17.544,0.752,17.878,em pé,2
18.565333333333335,1529,0.375,20.19893708704395,1.561,0.786,42.336972134444125,18.776,0.776,19.509,em pé,2
20.691,1520,0.469,22.66685998743415,1.695,0.885,42.77221980571263,22.656,0.791,37.389,45,3
19.68,1576,0.431,21.900406504065042,1.594,0.854,43.394308943089435,22.576,0.706,44.51,45,3
19.986399999999996,1502,0.439,21.964936156586482,1.66,0.85,42.52891966537246,22.909,0.761,41.11,45,3
19.986399999999996,1533,0.406,20.313813393107317,1.531,0.857,42.87915782732259,24.143,0.729,43.41,45,3
21.2506,1534,0.459,21.59939013486678,1.603,0.895,42.116457888247865,21.604,0.823,40.038,45,3
